Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,"You can get £100 if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would get then? ",Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
,,,,,,,,,,,,,,,
4/5/2018 11:22:56,Duisenberg Quantitative Risk Management,no,0,mu,nee,male,neither,10/12/1994,49000,no,0.05,7,1,Productive,Good sleep
4/5/2018 11:23:04,Computer Science,no,0,unknown,ja,male,I have no idea what you are talking about,06-08-1993,100,yes,The formmer,394749,1 a m,got a 8.5,got 2 8.5s
4/5/2018 11:23:06,Business Analytics,yes,1,sigma,ja,male,neither,25 december 92,5,no,Not enough,6,23,Food,Sport
4/5/2018 11:23:50,BA,yes,1,mu,ja,male,I have no idea what you are talking about,01-02-1995,2,no,0,8,0.3,-,-
4/5/2018 11:23:59,Master Computer Science: Big Data Engineering,no,0,sigma,ja,male,I have no idea what you are talking about,09.01.1994,6,no,0,8,0:00,sleep,beer
4/5/2018 11:24:34,Drug discovery and safety,no,0,mu,nee,male,fat,17-08-1994,4,no,100,No,09:00,Chocolate,Doing nothing 
4/5/2018 11:25:25,CS,yes,1,mu,nee,male,neither,27-09-1993,5,no,£1,6739,2300,Chocolate,More chocolate
4/5/2018 11:25:25,Computational Science,no,0,mu,ja,male,fat,14 May 1994,5,yes,0.25,3,12,Sunshine,Friends
4/5/2018 11:25:36,M Financial Economtrics,no,0,mu,nee,male,neither,11-04-1931,2,no,"0,25 pond",78952097,1 AM,Sun,Rain
4/5/2018 11:25:51,MSc Bioinformatics and Systems Biology,yes,1,unknown,ja,male,slim,19/08/1993,7,no,0.3,5,2:00,Free time,More free time
4/5/2018 11:25:54,Econometrics,no,0,mu,nee,female,I have no idea what you are talking about,16-05-1990,8,yes,0.003,8,00:00,Good coffee,Sunshine
4/5/2018 11:26:10,CS,no,0,mu,ja,female,slim,30/03/1995,6,no,1,42,23.45,Cats,Coffee
4/5/2018 11:26:23,Bioinformatics ,yes,0,mu,nee,female,fat,October 16,8,no,2,37,0.3,Sunny weather ,Good food 
4/5/2018 11:26:30,AI,yes,1,sigma,ja,male,I have no idea what you are talking about,this year,6,no,more,7727528,01:00,Good grades,All grades
4/5/2018 11:26:39,EOR,yes,0,mu,nee,male,I have no idea what you are talking about,02-04,2,no,99,187,8,Food,Wine
4/5/2018 11:26:40,Bioinformatics,no,0,mu,nee,female,fat,05-02-1994,1,no,0.25,7,23:30,Pancakes for breakfast,No wind
4/5/2018 11:26:43,BA,yes,1,mu,ja,female,I have no idea what you are talking about,22-01,1,yes,100,7,01:30,Sleep,Netflix
4/5/2018 11:26:44,BA,yes,1,mu,ja,male,fat,7-10-1994,3,no,80,6,1:00,Sleep,Relax
4/5/2018 11:26:47,AI,yes,1,mu,ja,female,fat,23-02-1995,2,no,"0,50",34,23:30,Good sleep,Go to the gym
4/5/2018 11:26:54,CS,no,0,mu,ja,male,neither,24-03-1994,1,no,1,7,I didn't,Pizza,Beer
4/5/2018 11:27:04,Computational Science,no,0,mu,nee,male,I have no idea what you are talking about,1996-01-04,7,unknown,100/N,6283949577437363939374648394747483927,23:59,Pancakes,Pizza
4/5/2018 11:27:06,Big Data Engineering,yes,0,mu,ja,male,I have no idea what you are talking about,07-12-1995,2,no,£200,2,23:20,Good foodd,Lot of foodd
4/5/2018 11:27:06,AI,yes,1,mu,nee,male,I have no idea what you are talking about,04.11.1992,1,no,70,2,2 a.m.,sex,good food
4/5/2018 11:27:08,AI,no,0,mu,nee,female,I have no idea what you are talking about,05-11-1993,5,no,",50",6,23:30,Puppies,sunshine
4/5/2018 11:27:10,Computational Science,no,0,mu,nee,female,neither,3 november,8,no,0.25,7,23.3,Nice grades,Good food
4/5/2018 11:27:11,MSc Computer Science ,no,0,mu,ja,male,fat,21/09/1994,8,unknown,10,4,1:30,Coffee,Good night sleep
4/5/2018 11:27:12,BA,yes,1,mu,nee,male,slim,19-10,2,no,110,Hoi,23:30,Cheese,Beer
4/5/2018 11:27:12,Business Analytics ,yes,1,mu,nee,female,fat,14-04,2,no,10,9,22.2,Coffee,Food
4/5/2018 11:27:13,AI,yes,1,mu,ja,male,fat,23-12,5,no,1234,4,23:30,Food,Coffee
4/5/2018 11:27:14,Econometrics,no,0,mu,nee,female,fat,29-10-1991,1,no,1/4,3,01:20,Good food,Lovely people
4/5/2018 11:27:14,Computational Science,no,0,mu,ja,male,fat,07-11-1991,7,no,110,9293746289201,23:55,Sunshine,Beer
4/5/2018 11:27:15,BA,yes,1,mu,ja,male,I have no idea what you are talking about,15 february,4,no,100,5,01:00,Sun,Sun
4/5/2018 11:27:16,BA,yes,1,mu,ja,female,I have no idea what you are talking about,03-10,0,no,25,3,23:00,Sun,Friends
4/5/2018 11:27:16,AI,yes,1,mu,ja,female,I have no idea what you are talking about,14-01,3,no,0.3,347,02:00,Nice weather ,Music
4/5/2018 11:27:18,21-05-1995,no,0,mu,nee,male,neither,21-05-1995,7,no,0.25€,19,Not,Good food,No alarm
4/5/2018 11:27:18,Computer Science: Big Data Engineering,yes,1,mu,ja,male,neither,9 november 1992,1,no,1,9,1:00,Sun,Freedom
4/5/2018 11:27:18,Master Business Analytics ,yes,1,mu,ja,male,fat,1995,0,no,0,1,1:00,Good food ,Good sex 
4/5/2018 11:27:18,AI,no,1,mu,ja,female,fat,10/01/1995,5,no,100,2,01:00,good food,enough sleep
4/5/2018 11:27:18,AI,yes,1,mu,ja,male,I have no idea what you are talking about,23-14-2030,6.5,no,3,11,01:00,No homework,A blunt
4/5/2018 11:27:19,AI,yes,1,mu,nee,female,neither,20 August,a lot,no,5,2,1:15,Good weather,No school 
4/5/2018 11:27:19,AI premaster,yes,0,mu,nee,male,I have no idea what you are talking about,May,1,no,0,2,Dont know,Snow,Storm
4/5/2018 11:27:20,Artificial Intelligence (Socially Aware Computing),yes,1,mu,ja,male,I have no idea what you are talking about,13-06-1993,420,no,99.99,9,01:00,Fun,Relaxation
4/5/2018 11:27:21,MSc AI and MSc CLS,yes,1,mu,nee,male,I have no idea what you are talking about,1996-01-29,2,no,6,5,2am,Jezus man,Te diep
4/5/2018 11:27:21,MSc Bioinformatics,yes,0,mu,ja,unknown,fat,X,2,no,1,9,22:00,Energy,Smiles
4/5/2018 11:27:21,A. I. ,yes,0,mu,nee,male,neither,15/05/1994,5,no,10,32,12.4,Food,Sports
4/5/2018 11:27:21,Business Analytics,yes,1,mu,ja,male,I have no idea what you are talking about,27/12/1994,400,no,7,5,23:00,beer,sex
4/5/2018 11:27:22,Business Analytics,yes,1,mu,ja,male,fat,10-08-1995,400,no,0.25,4,23:55,Beer,Good food
4/5/2018 11:27:23,BA,yes,1,mu,ja,female,fat,25-05-1995,1,no,50,8,23:00,Sun,Free time
4/5/2018 11:27:23,System Biology and Bioinformatics,yes,0,mu,nee,female,fat,16-01-1996,0,no,100,4578994211,23,cats,coffee
4/5/2018 11:27:25,Business Analytics,yes,1,mu,ja,male,fat,16-10-1994,7,no,100 pound,33,23:15,Sex,Gaming
4/5/2018 11:27:25,Exchange,yes,1,mu,ja,male,fat,28,8,no,1,7,1,Weather,Beer
4/5/2018 11:27:26,BA,yes,1,mu,ja,male,neither,13/12/1994,4,no,42,7,0:00,Laughing,Sun shining
4/5/2018 11:27:26,EOR,no,0,mu,nee,female,fat,04/04,7,no,0,4,11:50,Sun,Sea
4/5/2018 11:27:27,Big data engineering,no,0,mu,ja,male,neither,15-07-1996,10,no,1,6,01:00,People miding their own business,Nice weather
4/5/2018 11:27:27,AI,yes,0,mu,ja,male,I have no idea what you are talking about,30-01-1995,"Either 4 or 8, depends on how you count. Also 1 under and above me.",no,0.001,9,23,Coffee,Pizza
4/5/2018 11:27:27,EOR,no,0,mu,nee,male,neither,22/08/1995,4,no,100,3,23:30,Sun ,Food
4/5/2018 11:27:27,Finance DHP QRM,no,0,mu,nee,male,fat,17/10/1992,1,no,25c,7,00:30,No assigments,Freedom
4/5/2018 11:27:27,BA,yes,1,mu,ja,male,slim,28 November 2018,8,no,0.9999987888,8,01:00,Music,Food
4/5/2018 11:27:28,QRM,no,0,mu,nee,male,neither,17-03-1994,2,no,0.3,6,0:15,Saturday,Sunday
4/5/2018 11:27:28,Business Analytics,yes,1,mu,ja,female,fat,30-04-1994,6,no,25,8,23:15,Chocolate,Sun
4/5/2018 11:27:28,Data Mining Techniques,yes,1,mu,ja,male,neither,16-01,430,no,25,7,23:00,-,-
4/5/2018 11:27:28,Computational Science ,yes,0,mu,ja,female,fat,20/01,3,no,0.05,1,1:00,Enough sleep,Exercise
4/5/2018 11:27:29,Business analytics,yes,1,sigma,ja,unknown,fat,20-11-1995,2,yes,90,8,00:00,Wake up time,Chocolate
4/5/2018 11:27:30,BA,yes,1,mu,ja,male,fat,09-03-1996,7,no,1,8,23:05,Coffee,Wake-up time
4/5/2018 11:27:30,AI,no,1,mu,ja,male,I have no idea what you are talking about,In about two months,2,no,25,18,1,Sunny day,No school
4/5/2018 11:27:30,Econometrics ,no,0,mu,nee,male,fat,22/11/1991,3,no,2,2,2 am,Freedom,Money
4/5/2018 11:27:31,MSc Artificial Intelligence,yes,1,mu,ja,male,fat,23-01,9,no,101,No,01:00,Not coming to VU,Sushi
4/5/2018 11:27:31,Bioinformatics and SysBio,yes,1,mu,ja,male,unknown,1994-12-09,2,no,0.3,1,2am,Work,Food
4/5/2018 11:27:31,AI,yes,0,mu,ja,female,I have no idea what you are talking about,10-09-1995,2,no,1,7,22,nice weather,coffee
4/5/2018 11:27:32,Econometrics,no,0,mu,nee,male,I have no idea what you are talking about,21-12,5,no,1,0,early,Fox news,sleep
4/5/2018 11:27:32,AI,no,1,mu,unknown,female,I have no idea what you are talking about,28-01,1,no,1,7,23:03,sunny weather,pizza
4/5/2018 11:27:32,Comoputational science,no,unknown,sigma,nee,female,fat,02-07,7,no,0.1,3,23,Sun,Not studying
4/5/2018 11:27:32,AI,no,0,sigma,ja,male,I have no idea what you are talking about,30.12.1991,4,no,100,5,23:59,Fun fun fun,A good day
4/5/2018 11:27:32,Computational science,no,0,mu,ja,female,slim,05-08-1995,7,no,10,7,01:30,No rain,Food
4/5/2018 11:27:32,BA,yes,0,mu,ja,female,fat,27-09-1992,6,no,2,7,22:10,nice food,a lot of fun 
4/5/2018 11:27:32,Computational science,no,0,mu,nee,female,slim,08.08.1993,1,no,50€ ?:),1,0.3,Kind people around me ,Coffee
4/5/2018 11:27:32,Artificial Intelligence,no,0,sigma,nee,female,neither,10.03.1995,1,no,10,9,01:00,sunshine,good coffee 
4/5/2018 11:27:33,Ai,no,0,mu,ja,male,I have no idea what you are talking about,02/09/1990,4,no,5,7,01:15,Bunnies,Good weather
4/5/2018 11:27:33,AI,no,0,mu,ja,female,I have no idea what you are talking about,11-11,1,no,0.75,8,23:15,Laughs,No stress
4/5/2018 11:27:33,Econometrics & Operations Research,no,1,mu,nee,male,fat,31/08/1994,1,no,100,8,12:00,Sun,Lunch
4/5/2018 11:27:33,MS,unknown,0,mu,nee,male,neither,05-02-1988,8,no,50,3,23:58,A productive day,A day with company
4/5/2018 11:27:34,Business Analytics/ operations research,yes,1,mu,ja,male,neither,19-04,7,no,0.456,4,1.12,Food,Good grades
4/5/2018 11:27:34,MA Bioinformatics,no,0,sigma,ja,female,fat,05-10-1987,7,no,1,13,01:30,sunshine,beer
4/5/2018 11:27:34,Master Human Movement Science,no,0,mu,nee,female,I have no idea what you are talking about,28/05/1992,1,no,0.4,8,0:30,Coffee,Sunshine
4/5/2018 11:27:35,BA,yes,0,mu,nee,male,fat,29-07,1,no,1,3,2330,Sun,Good food
4/5/2018 11:27:35,BA,yes,1,mu,ja,male,I have no idea what you are talking about,27-03,1,no,100,4,04:00,Sex,No worries
4/5/2018 11:27:35,Finance,no,0,mu,ja,male,fat,03-04-1994,5,no,1,5,01:00,Some food,Netflix
4/5/2018 11:27:35,BA,yes,1,mu,ja,male,fat,07-05-1994,6,no,0.25,9,0.3,Food,Sleep
4/5/2018 11:27:35,Quantitative Risk Management,no,0,mu,nee,male,fat,28/06,5,no,5,7,00:30,Nice weather,Winning the lotery
4/5/2018 11:27:35,AI,yes,1,mu,ja,female,neither,27/06/1995,9,no,0.25,5,1:00 am,Food,Sleep
4/5/2018 11:27:35,PhD student at FGB,yes,0,mu,ja,male,fat,02-09-1990,2,no,0.25,3,23:00,Sex,Video games
4/5/2018 11:27:35,Bioinformatics and Systems Biology,yes,0,sigma,ja,female,neither,25/12/1994,300,no,20,1,0,Sun,Free time
4/5/2018 11:27:36,PhD student,no,0,mu,nee,female,fat,March 30th,0,no,1,6,10.30 pm,sleeping well,sunshine
4/5/2018 11:27:36,Bioinformatics and Systems Biology,yes,1,mu,ja,female,neither,21-11-1993,280,no,"0,3",1,23:30,chocolate,nice weather
4/5/2018 11:27:36,Bioinformatics ,yes,0,mu,nee,female,fat,12-4-1994,2,no,0.5,8,12,Receiving food,Sun
4/5/2018 11:27:36,Business Analytics,yes,1,mu,ja,male,slim,24-08-1992,7,no,85,3,00:30,Sex,Good sleep
4/5/2018 11:27:36,CS,no,0,mu,ja,male,slim,7-11,6,no,100,2,22:00,Plenty food,Plenty sleep
4/5/2018 11:27:37,Bioinformatics & Systems biology,no,0,mu,ja,male,slim,05/02/1990,25,no,100,5,2,Music,Challenge 
4/5/2018 11:27:37,Econometrics,yes,1,mu,ja,male,I have no idea what you are talking about,09-09-1994,1,no,100,7,23:30,Mac Donalds,A good sleep
4/5/2018 11:27:37,CS,yes,0,mu,ja,male,neither,September 18,10,no,100,7,2,Achieving something,Learning something
4/5/2018 11:27:38,BA,yes,1,mu,ja,male,I have no idea what you are talking about,17 Aug,1,no,10,2,23:00,Sun,Sleep
4/5/2018 11:27:38,MSc Econometrics,no,0,mu,nee,female,I have no idea what you are talking about,2 februari,4,no,1,1,22.3,coffee,laughter
4/5/2018 11:27:38,Computer Science: Big Data Engineering,no,0,mu,ja,male,fat,19th June,5,yes,10,9,2am,The Sun,No stress
4/5/2018 11:27:38,AI,yes,0,mu,nee,female,I have no idea what you are talking about,22-12-1993,3,no,1,8,22:45,Sunshine,Coffee
4/5/2018 11:27:38,CS,yes,1,mu,ja,male,fat,11-06-1993,10,no,40,8,23:00,Good food,A good nice sleep
4/5/2018 11:27:38,MSc Computational Science (Joint Degree),yes,1,mu,nee,male,neither,17-05-1994,6,no,20,7,01:30 AM,Coffee,Finishing some work
4/5/2018 11:27:38,AI,yes,1,mu,nee,male,neither,15-10-1993,5,no,0.5,8,24:00,"Sun, music, friends, beer",Coffee
